n_layer1;n_kernel1;n_layer2;n_kernel2;n_pool1;dropout_1;dropout_2;dense1;dense2;act;optim;n_batch;best_val_acc
26;(4, 4);62;(3, 3);(2, 2);0.14181956499860388;0.3105699573688348;180;60;relu;rmsprop;32;0.6783999800682068
38;(4, 4);62;(4, 4);(3, 3);0.12147550942435446;0.34874271553480224;130;60;relu;rmsprop;32;0.6985999941825867
20;(3, 3);58;(3, 3);(3, 3);0.10116440345679767;0.3608866429995588;200;60;relu;rmsprop;8;0.6929000020027161
38;(4, 4);68;(3, 3);(3, 3);0.10551284344642314;0.30514729909867416;160;100;leakyrelu;sgd;24;0.6528000235557556
38;(5, 5);50;(4, 4);(3, 3);0.13222755446604728;0.35246275699306256;180;80;relu;rmsprop;32;0.7297000288963318
32;(4, 4);62;(3, 3);(3, 3);0.15030793141956797;0.32077488478747856;200;60;relu;rmsprop;16;0.6782000064849854
38;(4, 4);62;(3, 3);(2, 2);0.11042074421370421;0.3450905776173439;180;60;relu;rmsprop;32;0.7398999929428101
14;(4, 4);64;(4, 4);(3, 3);0.1362665118942334;0.3294799430363302;100;60;relu;rmsprop;24;0.7419999837875366
38;(4, 4);68;(3, 3);(3, 3);0.1263178491884018;0.3168663122302002;200;60;relu;rmsprop;32;0.7222999930381775
8;(3, 3);54;(3, 3);(3, 3);0.11905706646999199;0.36407907512637816;180;60;leakyrelu;sgd;32;0.6894999742507935
38;(4, 4);62;(4, 4);(3, 3);0.27212798915204695;0.34163507763219036;130;100;relu;rmsprop;8;0.6757000088691711
38;(5, 5);62;(3, 3);(3, 3);0.11433730462905742;0.35457814636735047;200;80;relu;rmsprop;24;0.6934000253677368
26;(4, 4);68;(3, 3);(2, 2);0.2401696414267431;0.30040237780238427;160;60;relu;rmsprop;32;0.6700000166893005
20;(4, 4);58;(4, 4);(3, 3);0.10326956644455804;0.3365682851895319;180;60;relu;rmsprop;16;0.7524999976158142
38;(4, 4);50;(3, 3);(3, 3);0.10041657880608805;0.37390197013883447;200;60;relu;rmsprop;32;0.7039999961853027
32;(4, 4);62;(3, 3);(3, 3);0.15322721078834736;0.38461940436950803;180;60;leakyrelu;sgd;24;0.715499997138977
38;(3, 3);62;(4, 4);(3, 3);0.16690067331268016;0.3091255890570604;100;60;relu;rmsprop;32;0.734000027179718
14;(4, 4);64;(3, 3);(3, 3);0.1424943482615824;0.35900506662288156;200;100;relu;rmsprop;32;0.692799985408783
38;(5, 5);68;(3, 3);(2, 2);0.13220488487678192;0.3246279788854296;180;60;relu;rmsprop;8;0.7416999936103821
8;(4, 4);54;(4, 4);(3, 3);0.1815216274722446;0.37095875050414423;130;80;relu;rmsprop;24;0.7233999967575073
